"Timestamp","1. Where do you live during the Pandemic?","2. Currently, are you living with?","3. What is your age (choose the best match range)?","4. Your Gender?","4. Your Profession?","5. What is your current salary range? (monthly)","6. Does the Covid-19 pandemic affect your financial condition?","7. How frequently you order food online?","8. Did you order food online during the Covid-19 pandemic?","9. Do you feel safe using OFD (Online Food Ordering) during the Covid-19  pandemic?","10. If yes or no, please share the reason?","11. Do you think the restaurant food quality is maintained when you order online during the Covid-19 pandemic?","12. Do you prefer third-party apps (For example FoodPanda / PathaoFood ) more than a restaurant's website to order food online?","13. Which apps did you use so far for online food ordering?","14. Your preferred payment method for OFD (Online Food Delivery)?","15. Do you think the restaurant rating system in OFD help to order good quality food?  ","16. What do you think OFD (Online Food Delivery) should improve during a pandemic?","17. Do you feel OFD ensures timeliness?","18. Do you think OFD provides food less cost then restaurants?","19. When is the best time to use OFD (Online Food Delivery) for you?","20. Did you face any issue describing your address to the delivery man while using (Online Food Delivery) during the pandemic?","21. What encourages you most to use OFD (Online Food Delivery) during a pandemic? ","22. What safety measure you notice OFD providers take to ensure safety for the Covid-19  pandemic?","23. Did you notice any difference in OFD (Online Food Delivery) before and after the pandemic?","24. If yes what's the difference?","25. Did you face any issues using OFD  during the pandemic?","26. Did OFD (Online Food Delivery) owners take any steps to solve the issues you have faced?","27. Any Comments?"
"2020/10/19 9:46:13 PM GMT+6","Urban area","Family","26-35 Years","Male","Job","20,000 to 40,000 BDT","No","Never","never","Not always","No reason","No","No","Restaurants Facebook Page","Cash on delivery","No","Good food, reasonable price, good service, hygine","Not Always","No","Night","No","Discount","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add sanitation option","damage food","responded lately",""
"2020/10/19 9:50:19 PM GMT+6","Urban area","Family","26-35 Years","Female","","20,000 to 40,000 BDT","Partially","Occationally","More than 10 time","Yes","I need to sanitize the boxes only and also i mostly ordered homemade foods","Not Always","Yes","Foodpanda;Pathao Food;Restaurants Facebook Page;Homemade food","others","Maybe","","","","Afternoon","Yes","","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","","","","responded immidiately",""
"2020/10/19 9:50:52 PM GMT+6","Urban area","Family","36-50 Years","Male","Software Engineer","Above 80,000 BDT","No","Occationally","never","Not always","I dont know","No","Yes","Foodpanda;Uber Eats;HungryNaki","MFS (bkash /Nogodh )","No","","Yes","No","Evening","Yes","Save time and effort","Contact less delivery","No","","Delivary  man cant get the location","Did not response",""
"2020/10/19 9:51:25 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","20,000 to 40,000 BDT","Yes","Weekly","More than 10 time","Not always","N/A","Not Always","Yes","Foodpanda;Pathao Food;Uber Eats","Cash on delivery","Yes","NA","Not Always","Yes","Evening","Yes","Promo codes;Free Delivery;Discount","Contact less delivery;Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery","Order cancellation withput reason;Delivery man misbehave;bad packaging","Did not response","no"
"2020/10/19 9:52:11 PM GMT+6","Urban area","Family","26-35 Years","Male","Software Engineer","20,000 to 40,000 BDT","No","Occationally","Once / Twice","No","Because, I dont know the environment where the foods are being cooked","Not Always","No","Foodpanda","Cash on delivery","Maybe","delivery boys should be honest","Not Always","No","Afternoon","No","Save time and effort","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Cashless payment system","No","","No safety measures","Did not response",""
"2020/10/19 9:55:36 PM GMT+6","Urban area","Family","26-35 Years","Male","Banker","40,000 to 60,000 BDT","Yes","Weekly","More than 10 time","Yes","I do believe ofd is safe under circumstance. ","Yes","Yes","Foodpanda;Pathao Food","Cash on delivery","Yes","Yes ","Yes","No","Night","No","Free Delivery","Contact less delivery","Yes","Add contactless delivery","Delivary  man cant get the location","responded lately",""
"2020/10/19 9:56:16 PM GMT+6","Urban area","Family","19-25 Years","Male","Software Engineer","20,000 to 40,000 BDT","No","Occationally","At least 5 times","Not always","Deliveryman do not use any protection equipment","Yes","Yes","Pathao Food","Cash on delivery","Maybe","Be more professional and safety ","Not Always","No","Evening","No","Dine in insecurity during pendemic","Contact less delivery","Yes","Add contactless delivery","No safety measures;excessive delay in delivary;Order cancellation withput reason;bad packaging;Wrong food delivered;Delivary  man cant get the location","responded immidiately","Best of luck..."
"2020/10/19 10:01:40 PM GMT+6","Urban area","Family","26-35 Years","Male","Service holder","20,000 to 40,000 BDT","Yes","Occationally","At least 5 times","Not always","Not always ","Not Always","Sometimes","Foodpanda","Cash on delivery","Maybe","Time maintaining ","No","No","Afternoon","No","Promo codes","Contact less delivery","Yes","Add contactless delivery","excessive delay in delivary","responded lately","No"
"2020/10/19 10:03:31 PM GMT+6","Urban area","Alone","26-35 Years","Male","Private Service ","40,000 to 60,000 BDT","Partially","Occationally","At least 5 times","Not always","Sometimes I am unsure about the safety measures of delivery person","Not Always","Yes","Foodpanda","Credit card","Yes","Packaging and safety of delivery person","Yes","No","Evening","No","Free Delivery;Dine in insecurity during pendemic;Safety issue;Save time and effort","Cashless payment system","Yes","Add contactless delivery","No safety measures","responded immidiately",""
"2020/10/19 10:06:23 PM GMT+6","Urban area","Family","26-35 Years","Male","Teacher","20,000 to 40,000 BDT","Yes","Never","never","No","Unhygienic ","No","Sometimes","Foodpanda","Cash on delivery","No","","Not Always","Yes","Evening","No","Discount","Their advertisement of hygiene","Yes","sanitation for delivery man","","responded lately",""
